ID,sex,age,freq_alcohol,exp_kta,exp_kta2,reason_non_kta,most_pkta,sat_flavor,sat_sweet,sat_sour,sat_smell,sat_swallow,sat_degree,menu,most_menu,6-4. 위 문항(6번)에서 답한 전통주와 가장 어울리는 날씨는 무엇인가요?,6-5. 위 문항(6번)에서 답한 전통주를 마시게 된 주된 경로는 무엇입니까?,"7. 위 선택지에 제시된 내용을 제외하고 마셔 본 전통주와 관련된 자신만의 추천해주고 싶은 경험(주된 경험, 먹었던 안주, 날씨 등)을 자유롭게 써주세요. (주관식)",pi_kta,8-1. 위 문항의 전통주를 구매하지 않은 주된 이유는 무엇인가요?,9. 다음 항목에서 가장 선호하는 주종은 무엇입니까?,9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [맛],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [당도],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [산도],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [향],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [목넘김],9-1. 위 문항(9번)에서 답한 주종의 특성들에 대해 어느 정도 만족하십니까? [도수],9-2. 위 문항(9번)에서 답한 주종과 같이 먹었던 안주는 무엇입니까?(최대 3개),9-3. 위 문항(9번)에서 답한 주종과 같이 먹었던 안주 중에 가장 추천해주고 싶은 안주는 무엇입니까?,9-4. 위 문항(9번)에서 답한 주종과 가장 어울리는 날씨는 무엇인가요?,9-5. 위 문항(9번)에서 답한 주종을 마시게 된 주된 경로는 무엇입니까?,"10. 위 선택지에 제시된 내용을 제외하고 마셔 본 주종과 관련된 자신만의 추천해주고 싶은 경험(주된 경험, 먹었던 안주, 날씨 등)을 자유롭게 써주세요. (주관식)",11. 위 문항(9번)에서 답한 주종을 다음에도 구매할 의사가 있으십니까?
1,1,1,4,1,1,,4,4,5,4,5,3,1,1,1,1,5,,2,,3,2,4,4,2,5,2,2,8,6,2,친구들과 치즈에 양주먹으면 맛있음,2
2,2,1,4,1,1,,10,5,4,5,4,3,3,3,3,6,5,,2,,6,4,5,5,4,5,3,2,2,1,3,,2
3,1,1,4,1,1,,2,5,5,3,4,5,5,3,12,1,5,햇빛이 쨍쨍한 날...등산하고 샤워한 뒤에 마시는 막걸리와 열무김치의 맛...잊지 못합니다.,2,,3,5,3,3,4,4,5,3,3,6,3,슬러시 맥주와 오징어 순대의 조합 기가 멕힙니다.... 속초에서의 달달했던 한 여름밤이 기억나네요,2
4,1,1,4,2,1,,5,3,2,2,3,5,5,3,5,2,3,다음날 숙취를 피하고 싶으면 도수 센 증류주 추천합니다.,2,,1,3,2,2,3,5,5,3,4,6,3,"1. 매콤한 것과 국물과 곁들이고 싶을때 소주
2. 온도, 습도와 도수는 반비례한다.",2
5,1,1,5,2,2,2,,,,,,,,,,,,,,,4,4,4,3,4,4,2,8,8,6,3,잘 안마셔서 모름,2
6,2,1,4,1,1,,4,5,3,3,4,4,4,1,4,6,3,,2,,3,5,4,4,4,5,4,1,8,6,3,,2
7,1,1,3,1,1,,2,5,5,4,3,4,4,2,6,6,5,,2,,1,2,2,2,2,2,5,2,3,6,1,,2
8,2,1,4,1,1,,1,2,4,2,4,2,3,11,11,6,1,비오는날 말고 햇볕 쨍쨍한날에도 막걸리의 탄산때문에 잘 어우러졌던것같아요.,3,,3,4,4,4,4,4,3,8,8,6,3,맥주는 마른안주나 튀김이랑 잘 맞는것같아요.,2
9,1,1,4,2,1,,1,4,4,3,4,4,4,1,1,6,3,,2,,3,5,5,5,5,5,5,1,8,5,2,,2
10,1,1,4,1,1,,3,4,4,4,4,4,4,2,11,2,3,,2,,4,4,4,4,4,4,4,5,8,6,3,,2
11,1,2,5,1,2,2,,,,,,,,,,,,,,,5,5,3,3,4,4,3,6,8,1,3,날이 좋아서 한강에서 치맥,2
12,2,1,5,2,1,,12,4,4,4,4,4,4,7,8,6,5,카시스 오렌지는 달아서 술안땡기는 꿀꿀한 날에 어른이가 마시기 좋습니다,2,,2,3,4,4,3,3,3,1,8,6,3,과일 소주는 친구들하고 술게임에 딱입니다 호불호라 머리아프다는 벌칙이 가능하거든요 ㅎㅎ,2
13,1,1,4,1,1,,10,5,5,4,5,5,4,1,2,2,3,막걸리 비오는날,2,,3,4,4,4,4,4,4,1,8,1,3,,2
14,1,1,5,2,1,,1,3,4,3,4,2,3,1,11,2,3,,2,,3,4,3,4,4,5,3,2,8,6,3,,2
15,1,1,1,2,1,,1,4,4,3,4,4,4,11,11,2,5,,2,,3,4,4,4,4,4,4,6,8,6,3,,2
16,1,1,5,2,2,2,,,,,,,,,,,,,,,3,3,3,3,3,3,3,4,8,6,3,,3
17,1,1,4,1,1,,2,3,3,3,3,3,3,11,11,6,5,,2,,1,3,3,3,3,3,3,2,2,6,3,,2
18,1,2,5,1,1,,10,5,5,5,5,5,5,5,7,6,3,,2,,4,5,5,5,5,5,5,6,7,6,2,,2
19,1,1,5,1,1,,1,2,3,3,3,3,3,4,5,2,1,,1,2,3,4,4,2,2,2,2,1,5,1,2,,2
20,1,1,5,2,2,2,,,,,,,,,,,,,,,3,4,4,4,4,4,4,2,1,1,3,,2
21,1,1,3,2,1,,99,4,4,4,4,4,3,11,11,6,3,,2,,1,3,2,2,3,3,3,2,2,6,1,,2
22,2,1,4,1,1,,10,3,2,4,4,3,2,1,11,2,3,비오는날 막걸리,2,,1,3,3,3,3,2,2,1,3,6,3,,2
23,1,1,4,1,1,,7,5,5,5,5,5,5,2,2,5,5,,1,2,4,5,5,5,5,5,5,6,8,5,3,,2
24,1,3,1,1,1,,10,3,3,3,4,4,3,2,11,2,3,막걸리 파전,2,,1,5,5,5,4,4,4,2,4,2,2,소주에 삼겹살,2
25,1,1,4,2,1,,1,2,2,2,2,2,2,1,1,2,3,,2,,1,3,3,3,3,3,3,2,2,6,3,,2
26,1,1,3,1,1,,10,4,4,3,4,3,1,2,3,6,5,역시 전통주는 엿이나 먹고 먼지가 많은 날에 삽겹살에 소주가 최고지,1,2,1,1,1,1,1,3,3,1,2,3,3,쓰디쓴 인생 삽겹살에 소주 한잔이라면 주말까지 버틸 수 있지,2
