location,name,Alc,latitude,longitude,image,links
강원도,1000억 유산균 막걸리,5%,37.4893229,128.1957934,https://thesool.com/wp-content/uploads/2019/07/20190703_1000억.jpg,http://www.ksdb.co.kr
강원도,2017년 햅쌀로 빚은 첫술,7%,37.4896791,128.1967363,https://thesool.com/wp-content/uploads/2018/01/크기변환_햅쌀-첫술-4.gif,http://www.ksdb.co.kr
강원도,국순당 생막걸리 대박,6%,37.4893229,128.1957934,https://thesool.com/wp-content/uploads/2019/07/20190703_국순당_생막걸리.jpg,http://www.ksdb.co.kr
강원도,국순당 이화주,13%,37.4893229,128.1957934,https://thesool.com/wp-content/uploads/2019/07/20190703_이화주.jpg,http://www.ksdb.co.kr
강원도,도문대작 생막걸리,10%,37.8264546,128.8485884,https://thesool.com/wp-content/uploads/2019/03/도문대작.jpg,http://www.bangpungdoga.com/
강원도,동몽,17%,37.7907986,128.1685582,https://thesool.com/wp-content/uploads/2018/11/예술주조_동몽.jpg,http://www.ye-sul.co.kr
강원도,동정춘,8%,37.7939239,127.9735972,https://thesool.com/wp-content/uploads/2019/04/산수양조장_동정춘.jpg,sansoo.modoo.at
강원도,려,25%,37.4893229,128.1957934,https://thesool.com/wp-content/uploads/2020/01/국순당_려.jpg,http://www.ksdb.co.kr
강원도,만강에 비친 달,10%,37.7907986,128.1685582,https://thesool.com/wp-content/uploads/2018/11/예술주조_만강에비친달.jpg,http://www.ye-sul.co.kr
강원도,모월 연,13%,37.2899152,127.9721221,https://thesool.com/wp-content/uploads/2020/02/모월-연.png,http://www.mowall.co.kr/main/index.php
강원도,모월 인,41%,37.2899152,127.9721221,https://thesool.com/wp-content/uploads/2020/02/모월인.png,http://www.mowall.co.kr/main/index.php
강원도,배꽃 필 무렵,14%,37.7907986,128.1685582,https://thesool.com/wp-content/uploads/2018/11/예술_배꽃이필무렵.jpg,http://www.ye-sul.co.kr
강원도,백세주,13%,37.4893229,128.1957934,https://thesool.com/wp-content/uploads/2019/09/백세주.jpg,http://www.ksdb.co.kr
강원도,백자주,10%,37.7939239,127.9735972,https://thesool.com/wp-content/uploads/2019/04/산수_백자주.jpg,sansoo.modoo.at
강원도,사시통음주,18%,37.4893229,128.1957934,https://thesool.com/wp-content/uploads/2019/07/20190703_사시통음주.jpg,http://www.ksdb.co.kr
